start to read...wait for data|Time:2016-05-16 10:30:34|Time:2016-05-16 10:30:34
data coming...|Time:2016-05-16 10:30:45|Time:2016-05-16 10:30:45
single msg is ok...|Time:2016-05-16 10:30:45|Time:2016-05-16 10:30:45
command is ok from 127.0.0.1, responding... |Time:2016-05-16 10:30:45|Time:2016-05-16 10:30:45
send to 127.0.0.1 code 0000[test]|Time:2016-05-16 10:30:45|Time:2016-05-16 10:30:45
start to read...wait for data|Time:2016-05-16 10:30:45|Time:2016-05-16 10:30:45
127.0.0.1 closed,exit|Time:2016-05-16 10:30:49|Time:2016-05-16 10:30:49
127.0.0.1 connected...|Time:2016-05-16 10:39:33|Time:2016-05-16 10:39:33
start to read...wait for data|Time:2016-05-16 10:39:33|Time:2016-05-16 10:39:33
data coming...|Time:2016-05-16 10:39:33|Time:2016-05-16 10:39:33
single msg is ok...|Time:2016-05-16 10:39:33|Time:2016-05-16 10:39:33
command is ok from 127.0.0.1, responding... |Time:2016-05-16 10:39:33|Time:2016-05-16 10:39:33
send to 127.0.0.1 code 0000[test]|Time:2016-05-16 10:39:56|Time:2016-05-16 10:39:56
start to read...wait for data|Time:2016-05-16 10:39:56|Time:2016-05-16 10:39:56
data coming...|Time:2016-05-16 10:40:13|Time:2016-05-16 10:40:13
single msg is ok...|Time:2016-05-16 10:40:13|Time:2016-05-16 10:40:13
command is ok from 127.0.0.1, responding... |Time:2016-05-16 10:40:13|Time:2016-05-16 10:40:13
send to 127.0.0.1 code 0000[test]|Time:2016-05-16 10:41:22|Time:2016-05-16 10:41:22
start to read...wait for data|Time:2016-05-16 10:41:48|Time:2016-05-16 10:41:48
msgProcessor IOException..|java.net.SocketException: Connection reset|2016-05-16 10:42:01|Time:2016-05-16 10:42:01
127.0.0.1 closed,exit|Time:2016-05-16 10:42:40|Time:2016-05-16 10:42:40
new client is coming...|Time:2016-05-16 11:22:59|Time:2016-05-16 11:22:59
127.0.0.1 connected...|Time:2016-05-16 11:22:59|Time:2016-05-16 11:22:59
start to read...wait for data|Time:2016-05-16 11:22:59|Time:2016-05-16 11:22:59
data coming...|Time:2016-05-16 11:23:30|Time:2016-05-16 11:23:30
single msg is ok...|Time:2016-05-16 11:23:30|Time:2016-05-16 11:23:30
command is ok from 127.0.0.1, responding... |Time:2016-05-16 11:23:30|Time:2016-05-16 11:23:30
new client is coming...|Time:2016-05-16 11:25:06|Time:2016-05-16 11:25:06
127.0.0.1 connected...|Time:2016-05-16 11:25:06|Time:2016-05-16 11:25:06
start to read...wait for data|Time:2016-05-16 11:25:06|Time:2016-05-16 11:25:06
data coming...|Time:2016-05-16 11:25:10|Time:2016-05-16 11:25:10
single msg is ok...|Time:2016-05-16 11:25:10|Time:2016-05-16 11:25:10
command is ok from 127.0.0.1, responding... |Time:2016-05-16 11:25:10|Time:2016-05-16 11:25:10
new client is coming...|Time:2016-05-16 11:26:04|Time:2016-05-16 11:26:04
127.0.0.1 connected...|Time:2016-05-16 11:26:04|Time:2016-05-16 11:26:04
start to read...wait for data|Time:2016-05-16 11:26:04|Time:2016-05-16 11:26:04
data coming...|Time:2016-05-16 11:26:12|Time:2016-05-16 11:26:12
single msg is ok...|Time:2016-05-16 11:26:12|Time:2016-05-16 11:26:12
command is ok from 127.0.0.1, responding... |Time:2016-05-16 11:26:12|Time:2016-05-16 11:26:12
new client is coming...|Time:2016-05-16 11:27:26|Time:2016-05-16 11:27:26
127.0.0.1 connected...|Time:2016-05-16 11:27:26|Time:2016-05-16 11:27:26
start to read...wait for data|Time:2016-05-16 11:27:26|Time:2016-05-16 11:27:26
data coming...|Time:2016-05-16 11:27:26|Time:2016-05-16 11:27:26
single msg is ok...|Time:2016-05-16 11:27:26|Time:2016-05-16 11:27:26
command is ok from 127.0.0.1, responding... |Time:2016-05-16 11:27:26|Time:2016-05-16 11:27:26
new client is coming...|Time:2016-05-16 11:28:59|Time:2016-05-16 11:28:59
127.0.0.1 connected...|Time:2016-05-16 11:28:59|Time:2016-05-16 11:28:59
start to read...wait for data|Time:2016-05-16 11:28:59|Time:2016-05-16 11:28:59
data coming...|Time:2016-05-16 11:29:02|Time:2016-05-16 11:29:02
single msg is ok...|Time:2016-05-16 11:29:02|Time:2016-05-16 11:29:02
command is ok from 127.0.0.1, responding... |Time:2016-05-16 11:29:02|Time:2016-05-16 11:29:02
send to 127.0.0.1 code 0000[test]|Time:2016-05-16 11:29:10|Time:2016-05-16 11:29:10
start to read...wait for data|Time:2016-05-16 11:29:10|Time:2016-05-16 11:29:10
data coming...|Time:2016-05-16 11:29:20|Time:2016-05-16 11:29:20
single msg is ok...|Time:2016-05-16 11:29:20|Time:2016-05-16 11:29:20
command is ok from 127.0.0.1, responding... |Time:2016-05-16 11:29:20|Time:2016-05-16 11:29:20
send to 127.0.0.1 code 0000[test]|Time:2016-05-16 11:29:20|Time:2016-05-16 11:29:20
start to read...wait for data|Time:2016-05-16 11:29:20|Time:2016-05-16 11:29:20
127.0.0.1 closed,exit|Time:2016-05-16 11:30:02|Time:2016-05-16 11:30:02
new client is coming...|Time:2016-05-16 11:31:58|Time:2016-05-16 11:31:58
127.0.0.1 connected...|Time:2016-05-16 11:31:58|Time:2016-05-16 11:31:58
start to read...wait for data|Time:2016-05-16 11:31:58|Time:2016-05-16 11:31:58
data coming...|Time:2016-05-16 11:33:03|Time:2016-05-16 11:33:03
single msg is ok...|Time:2016-05-16 11:33:03|Time:2016-05-16 11:33:03
command is ok from 127.0.0.1, responding... |Time:2016-05-16 11:33:03|Time:2016-05-16 11:33:03
send to 127.0.0.1 code 0000[test]|Time:2016-05-16 11:33:03|Time:2016-05-16 11:33:03
start to read...wait for data|Time:2016-05-16 11:33:03|Time:2016-05-16 11:33:03
127.0.0.1 closed,exit|Time:2016-05-16 11:34:10|Time:2016-05-16 11:34:10
new client is coming...|Time:2016-05-16 11:35:22|Time:2016-05-16 11:35:22
